t i_d i_d2
  3.1 5.0973 11.654
3.1042 5.2572 12.011
3.1083 5.1808 12.349
3.1125 5.4006  13.9
3.1167 5.412 14.129
3.1208 5.3333 14.342
3.125 5.4097 12.944
3.1292 5.531 12.779
3.1333 5.4506 12.607
3.1375 5.6283 14.275
3.1417 5.6175 13.984
3.1458 5.5358 13.691
 3.15 5.5902 11.781
3.1542 5.6671 12.038
3.1583 5.5847 12.289
3.1625 5.7186 14.365
3.1667 5.6875 14.474
3.1708 5.6048 14.582
3.175 5.6352 12.425
3.1792 5.666 12.124
3.1833 5.5836 11.831
3.1875 5.6679 13.688
3.1917 5.6148 13.582
3.1958 5.5332 13.484
  3.2 5.5417 11.436
3.2042 5.5246 11.241
3.2083 5.4442 11.059
3.2125 5.4808 13.41
3.2167 5.4041 12.808
3.2208 5.3255 12.227
3.225 5.3102 8.4121
3.2292 5.2473 7.7537
3.2333 5.1711 7.1197
3.2375 5.1342 7.5892
3.2417 5.0596 6.8791
3.2458 4.9861 6.1964
 3.25 4.9098 5.106
3.2542 4.8385 4.0507
3.2583 4.7683 3.0297
3.2625 4.6531 0.75917
3.2667 4.5855 0.33151
3.2708 4.519 -0.069732
3.275 4.3731 2.6594
3.2792 4.3096 2.219
3.2833 4.2471 1.8058
3.2875 4.1082 -1.5286
3.2917 4.0042 -2.2606
3.2958 3.9461 -2.9608
  3.3 3.7468 -1.4437
3.3042 3.6745 -2.4617
3.3083 3.6213 -3.444
3.3125 3.4687 -6.2895
3.3167 3.3213 -6.9056
3.3208 3.2732 -7.4927
3.325 3.0382 -5.8515
3.3292 2.9536 -6.1073
3.3333 2.9109 -6.3407
3.3375 2.746 -8.4292
3.3417 2.5639 -8.593
3.3458 2.5268 -8.7373
 3.35 2.2575 -7.2736
3.3542 2.1617 -7.6937
3.3583 2.1305 -8.0927
3.3625 1.9543 -10.011
3.3667 1.7387 -10.302
3.3708 1.7136 -10.577
3.375 1.4147 -9.5416
3.3792 1.3087 -9.7431
3.3833 1.2898 -9.9321
3.3875 1.107 -11.628
3.3917 0.87013 -11.687
3.3958 0.85758 -11.739
  3.4 0.53749 -10.161
3.4042 0.42931 -10.134
3.4083 0.42312 -10.103
3.4125 0.23797 -10.946
3.4167 -0.019941 -10.783
3.4208 -0.019654 -10.623
3.425 -0.35299 -9.4581
3.4292 -0.46319 -9.2064
3.4333 -0.45652 -8.9618
3.4375 -0.64007 -9.5927
3.4417 -0.90752 -9.2224
3.4458 -0.89447 -8.8641
 3.45 -1.2335 -7.819
3.4542 -1.3384 -7.3724
3.4583 -1.3192 -6.942
3.4625 -1.4976 -7.0782
3.4667 -1.7673 -6.8512
3.4708 -1.742 -6.6399
3.475 -2.0834 -5.7441
3.4792 -2.1834 -5.1361
3.4833 -2.152 -4.5519
3.4875 -2.322 -3.9193
3.4917 -2.5871 -2.9467
3.4958 -2.55 -2.0052
  3.5 -2.8831 -1.0284
3.5042 -2.9715 0.27613
3.5083 -2.9289 1.5429
3.5125 -3.0875 2.8304
3.5167 -3.3375 3.4935
3.5208 -3.2897 4.127
3.525 -3.6081 4.4721
3.5292 -3.686 5.1426
3.5333 -3.6332 5.7825
3.5375 -3.7778 6.7477
3.5417 -4.0102 7.3895
3.5458 -3.9528 8.0009
 3.55 -4.2501 7.6771
3.5542 -4.3113 8.2989
3.5583 -4.2497 8.8909
3.5625 -4.3778 10.42
3.5667 -4.5826 10.971
3.5708 -4.5172 11.493
3.575 -4.7874 11.064
3.5792 -4.8297 11.254
3.5833 -4.7608 11.422
3.5875 -4.8702 12.822
3.5917 -5.0455 12.92
3.5958 -4.9734    13
  3.6 -5.2071 11.802
3.6042 -5.2322 12.157
3.6083 -5.1576 12.493
3.6125 -5.2463 14.042
3.6167 -5.3825 14.269
3.6208 -5.3057 14.48
3.625 -5.5009 13.079
3.6292 -5.5032 12.913
3.6333 -5.4247 12.739
3.6375 -5.4909 14.405
3.6417 -5.59 14.112
3.6458 -5.5103 13.818
 3.65 -5.6614 11.905
3.6542 -5.6429 12.161
3.6583 -5.5624 12.41
3.6625 -5.6041 14.485
3.6667 -5.657 14.592
3.6708 -5.5763 14.698
3.675 -5.6815 12.539
3.6792 -5.6405 12.237
3.6833 -5.56 11.943
3.6875 -5.5792 13.798
3.6917 -5.5879 13.69
3.6958 -5.5082 13.59
  3.7 -5.5657 11.541
3.7042 -5.5003 11.345
3.7083 -5.4219 11.161
3.7125 -5.4168 13.51
3.7167 -5.3795 12.907
3.7208 -5.3028 12.325
3.725 -5.306 8.5084
3.7292 -5.2303 7.8486
3.7333 -5.1557 7.2132
3.7375 -5.116 7.6814
3.7417 -5.043  6.97
