t i_d i_d2
  3.1 5.0755 -11.297
3.1042 5.2328 -11.653
3.1083 5.1582 -11.989
3.1125 5.3741 -11.034
3.1167 5.3857 -11.309
3.1208 5.3089 -11.568
3.125 5.3842 -13.35
3.1292 5.5035 -13.806
3.1333 5.425 -14.245
3.1375 5.5997 -12.747
3.1417 5.5896 -13.103
3.1458 5.5099 -13.447
 3.15 5.5635 -15.303
3.1542 5.6393 -14.884
3.1583 5.5589 -14.467
3.1625 5.6905 -12.114
3.1667 5.6605 -11.619
3.1708 5.5798 -11.131
3.175  5.61 -12.793
3.1792 5.6405 -12.496
3.1833 5.5601 -12.207
3.1875 5.643 -9.659
3.1917 5.5914 -8.9679
3.1958 5.5117 -8.2935
  3.2 5.5203 -9.4587
3.2042 5.5038 -8.6762
3.2083 5.4253 -7.9147
3.2125 5.4614 -4.5056
3.2167 5.3864 -3.9854
3.2208 5.3096 -3.485
3.225 5.2948 -6.067
3.2292 5.2333 -5.4712
3.2333 5.1586 -4.8991
3.2375 5.1226 -3.0438
3.2417 5.0495 -2.401
3.2458 4.9775 -1.7846
 3.25 4.9026 -1.3928
3.2542 4.8326 -1.0261
3.2583 4.7636 -0.68369
3.2625 4.6504 -1.4677
3.2667 4.584 -0.44383
3.2708 4.5185 0.54501
3.275 4.375 4.7132
3.2792 4.3124 5.7097
3.2833 4.2508 6.6709
3.2875 4.1139 4.7257
3.2917 4.0113 5.3898
3.2958 3.9539 6.0231
  3.3 3.7572 8.8519
3.3042 3.6857  9.15
3.3083 3.633 9.423
3.3125 3.4821 7.7918
3.3167 3.3363 8.3774
3.3208 3.2885 8.9345
3.325 3.056 11.668
3.3292 2.972 12.476
3.3333 2.9295 13.253
3.3375 2.7659 12.106
3.3417 2.5853 12.844
3.3458 2.5483 13.554
 3.35 2.2809 15.787
3.3542 2.1855 16.084
3.3583 2.1542 16.362
3.3625 1.9789 15.024
3.3667 1.7644 15.249
3.3708 1.7391 15.458
3.375 1.4415 16.864
3.3792 1.3356 16.957
3.3833 1.3164 17.039
3.3875 1.1341 15.493
3.3917 0.8976  15.5
3.3958 0.8847 15.501
  3.4 0.56503 17.006
3.4042 0.45664 16.874
3.4083 0.45007 16.74
3.4125 0.26476 15.604
3.4167 0.006575 15.382
3.4208 0.0064803 15.164
3.425 -0.32744 15.82
3.4292 -0.43815 15.472
3.4333 -0.43184 15.134
3.4375 -0.61608 13.792
3.4417 -0.8846 13.366
3.4458 -0.87184 12.953
 3.45 -1.2125 13.105
3.4542 -1.3181 12.577
